quantile,benchmark,fund,anchor
worst,-0.01509,-0.00534,-0.05154
bad,-0.00568,-0.00143,-0.01035
average,0.00165,0.00161,0.00113
good,0.00712,0.00465,0.01208
best,0.01397,0.00667,0.04732
