quantile,benchmark,fund,anchor
worst,-0.01509,-0.00473,-0.05154
bad,-0.00568,-0.00144,-0.01035
average,0.00165,0.00311,0.00113
good,0.00712,0.00783,0.01208
best,0.01397,0.00772,0.04732
