quantile,benchmark,fund,anchor
worst,-0.01500,-0.01236,-0.05142
bad,-0.00587,-0.00441,-0.01008
average,0.00183,0.00216,0.00126
good,0.00709,0.00666,0.01199
best,0.01387,0.01187,0.04725
