name,benchmark,Fund
2015,-0.00187,-0.03782
brexit,0.00018,0.04804
subprime,-0.22446,-0.05845
aug,-0.04516,-0.03382
euro,0.04347,0.13060
crisis alpha,0.00000,0.04393
crisis beta,1.00000,0.22608
non-crisis alpha,0.00000,0.09655
non-crisis beta,1.00000,0.52887
