quantile,benchmark,fund,anchor
worst,-0.01506,-0.00361,-0.05126
bad,-0.00623,-0.00204,-0.01033
average,0.00162,0.00297,0.00117
good,0.00761,0.00661,0.01174
best,0.01391,0.00649,0.04720
