name,benchmark,Fund
2015,-0.00098,-0.04107
brexit,-0.00754,0.04706
subprime,-0.23557,0.05477
aug,-0.03136,-0.01922
euro,0.05157,0.27720
crisis alpha,0.00000,0.14000
crisis beta,1.00000,0.14436
non-crisis alpha,0.00000,0.08106
non-crisis beta,1.00000,0.45822
