Date,Fund,TD Balanced Growth Fund
2015-08-18,-0.002,-0.003
2015-08-19,-0.004,-0.007
2015-08-20,-0.017,-0.021
2015-08-21,-0.030,-0.033
2015-08-24,-0.047,-0.054
2015-08-25,-0.046,-0.051
2015-08-26,-0.034,-0.040
2015-08-27,-0.026,-0.026
2015-08-28,-0.027,-0.024
2015-08-31,-0.032,-0.027
2015-09-01,-0.046,-0.044
2015-09-02,-0.039,-0.038
2015-09-03,-0.040,-0.038
2015-09-04,-0.047,-0.044
2015-09-08,-0.037,-0.037
2015-09-09,-0.037,-0.039
2015-09-10,-0.037,-0.038
2015-09-11,-0.035,-0.040
2015-09-14,-0.039,-0.044
2015-09-15,-0.034,-0.042
2015-09-16,-0.030,-0.031
2015-09-17,-0.028,-0.029
2015-09-18,-0.039,-0.037
2015-09-21,-0.038,-0.031
2015-09-22,-0.049,-0.041
2015-09-23,-0.049,-0.044
2015-09-24,-0.052,-0.045
2015-09-25,-0.048,-0.041
2015-09-28,-0.058,-0.051
2015-09-29,-0.059,-0.049
2015-09-30,-0.059,-0.040
2015-10-01,-0.062,-0.045
2015-10-02,-0.063,-0.040
2015-10-05,-0.064,-0.031
2015-10-06,-0.064,-0.029
2015-10-07,-0.065,-0.021
2015-10-08,-0.066,-0.017
2015-10-09,-0.066,-0.020
2015-10-13,-0.065,-0.022
2015-10-14,-0.063,-0.024
2015-10-15,-0.066,-0.023
2015-10-16,-0.065,-0.020
2015-10-19,-0.063,-0.020
2015-10-20,-0.065,-0.017
2015-10-21,-0.063,-0.015
2015-10-22,-0.063,-0.005
2015-10-23,-0.063,0.000
2015-10-26,-0.063,-0.004
2015-10-27,-0.061,-0.004
2015-10-28,-0.063,0.001
2015-10-29,-0.065,-0.002
2015-10-30,-0.065,-0.011
2015-11-02,-0.066,-0.007
2015-11-03,-0.067,-0.005
2015-11-04,-0.067,-0.005
2015-11-05,-0.067,-0.009
2015-11-06,-0.069,-0.009
2015-11-09,-0.070,-0.016
2015-11-10,-0.069,-0.017
2015-11-11,-0.068,-0.018
2015-11-12,-0.068,-0.028
2015-11-13,-0.066,-0.032
2015-11-16,-0.067,-0.020
2015-11-17,-0.067,-0.020
2015-11-18,-0.067,-0.014
2015-11-19,-0.066,-0.012
2015-11-20,-0.066,-0.013
2015-11-23,-0.066,-0.014
2015-11-24,-0.066,-0.015
2015-11-25,-0.067,-0.015
2015-11-26,-0.066,-0.013
2015-11-27,-0.066,-0.014
2015-11-30,-0.066,-0.012
2015-12-01,-0.066,-0.003
