name,benchmark,Fund
2015,-0.00098,-0.01989
brexit,-0.00754,0.02161
subprime,-0.23557,-0.24578
aug,-0.03136,0.00685
euro,0.05157,0.13192
crisis alpha,0.00000,0.03101
crisis beta,1.00000,0.86476
non-crisis alpha,0.00000,0.02869
non-crisis beta,1.00000,0.75488
