name,benchmark,Fund
2015,-0.00098,-0.01578
brexit,-0.00754,0.01490
subprime,-0.23557,-0.04277
aug,-0.03136,0.02341
euro,0.05157,0.08661
crisis alpha,0.00000,0.04432
crisis beta,1.00000,0.18812
non-crisis alpha,0.00000,0.04659
non-crisis beta,1.00000,0.24766
