quantile,benchmark,fund,anchor
worst,-0.01509,-0.01002,-0.05154
bad,-0.00568,-0.00322,-0.01035
average,0.00165,0.00174,0.00113
good,0.00712,0.00609,0.01208
best,0.01397,0.00881,0.04732
