quantile,benchmark,fund,anchor
worst,-0.01275,-0.01145,-0.05158
bad,-0.00549,-0.00598,-0.00924
average,0.00220,0.00222,0.00158
good,0.00653,0.00683,0.01147
best,0.01286,0.01259,0.04605
