name,benchmark,Fund
2015,-0.00187,-0.01499
brexit,0.00018,0.03157
subprime,-0.22446,-0.20720
aug,-0.04516,0.00397
euro,0.04347,0.12806
crisis alpha,0.00000,0.04509
crisis beta,1.00000,0.77060
non-crisis alpha,0.00000,0.03317
non-crisis beta,1.00000,0.72127
