name,benchmark,Fund
2015,-0.00098,-0.05226
brexit,-0.00754,0.05316
subprime,-0.23557,0.09501
aug,-0.03136,-0.05408
euro,0.05157,0.26314
crisis alpha,0.00000,0.13096
crisis beta,1.00000,0.11817
non-crisis alpha,0.00000,0.11197
non-crisis beta,1.00000,0.42306
