quantile,benchmark,fund,anchor
worst,-0.01275,-0.00121,-0.05158
bad,-0.00549,-0.00064,-0.00924
average,0.00220,0.00080,0.00158
good,0.00653,0.00150,0.01147
best,0.01286,0.00272,0.04605
