quantile,benchmark,fund,anchor
worst,-0.01485,-0.00906,-0.05119
bad,-0.00602,-0.00260,-0.01019
average,0.00169,0.00233,0.00122
good,0.00747,0.00486,0.01163
best,0.01404,0.00982,0.04711
