return,1.47274
cagr,0.05907
vol,0.08690
sharpe,0.07633
beta,0.64659
alpha,0.02272
te,0.07678
var,-0.11110
ir,-0.67622
tr,0.96363
skew,-0.49771
kurt,2.54660
mer,1.18999
bmer,2.22000
