quantile,benchmark,fund,anchor
worst,-0.01275,-0.00819,-0.05158
bad,-0.00549,-0.00369,-0.00924
average,0.00220,0.00164,0.00158
good,0.00653,0.00473,0.01147
best,0.01286,0.00924,0.04605
