name,benchmark,Fund
2015,-0.00187,-0.01540
brexit,0.00018,0.01582
subprime,-0.22446,-0.07791
aug,-0.04516,0.01615
euro,0.04347,0.09928
crisis alpha,0.00000,0.03175
crisis beta,1.00000,0.18582
non-crisis alpha,0.00000,0.05178
non-crisis beta,1.00000,0.30648
