name,benchmark,Fund
2015,-0.00098,-0.05186
brexit,-0.00754,0.05382
subprime,-0.23557,-0.02587
aug,-0.03136,-0.02700
euro,0.05157,0.13456
crisis alpha,0.00000,0.06263
crisis beta,1.00000,0.27264
non-crisis alpha,0.00000,0.10375
non-crisis beta,1.00000,0.42640
