name,benchmark,Fund
2015,-0.00098,-0.04644
brexit,-0.00754,0.03199
subprime,-0.23557,-0.11950
aug,-0.03136,-0.03110
euro,0.05157,0.18567
crisis alpha,0.00000,0.04656
crisis beta,1.00000,0.45870
non-crisis alpha,0.00000,0.03342
non-crisis beta,1.00000,0.56231
