m,3m,6m,ytd,y,yy,category
1.77000,4.50000,6.96000,4.50000,14.43000,5.62000,Canadian Equity Balanced
1.47000,2.72000,8.66000,2.72000,17.18000,6.84000,Canadian Equity
0.33000,1.20000,-2.30000,1.20000,1.45000,0.23000,Canadian Fixed Income
0.90000,1.74000,-5.98000,1.74000,1.68000,-0.75000,Canadian Long Term Fixed Income
1.83000,6.27000,9.99000,6.27000,28.00000,9.86000,Canadian Small/Mid Cap Equity
1.65000,6.34000,7.64000,6.34000,13.80000,6.87000,Global Equity Balanced
4.26000,7.13000,8.26000,7.13000,15.27000,10.58000,Global Equity
4.32000,11.81000,12.79000,11.81000,18.07000,9.33000,International Equity
-1.47000,7.04000,-6.50000,7.04000,5.82000,0.79000,Commodity
-0.43000,5.97000,-5.89000,5.97000,0.64000,1.91000,Commodity
2.31000,8.05000,0.61000,8.05000,6.99000,2.28000,Asia Pacific ex-Japan Equity
0.69000,1.77000,2.07000,1.77000,7.96000,2.83000,Canadian Neutral Balanced
0.95000,2.75000,4.39000,2.75000,10.78000,3.06000,Global Neutral Balanced
1.20000,2.10000,6.42000,2.10000,17.18000,4.23000,Canadian Equity
1.68000,1.68000,1.44000,1.68000,14.12000,0.46000,Canadian Small/Mid Cap Equity
-0.48000,3.62000,13.04000,3.62000,24.38000,13.85000,Financial Services Equity
1.34000,3.40000,7.43000,3.40000,13.20000,5.80000,Canadian Dividend & Income Equity
-0.67000,5.00000,13.74000,5.00000,18.87000,9.44000,U.S. Equity
1.73000,2.46000,7.27000,2.46000,19.19000,9.77000,Canadian Small/Mid Cap Equity
-5.08000,0.18000,32.66000,0.18000,50.28000,14.00000,Financial Services Equity
5.89000,9.05000,11.02000,9.05000,22.71000,12.22000,Sector Equity
0.97000,3.38000,3.78000,3.38000,8.82000,2.66000,Global Neutral Balanced
1.08000,5.82000,11.40000,5.82000,19.11000,1.63000,Canadian Fixed Income Balanced
2.01000,5.68000,4.04000,5.68000,19.72000,5.77000,Global Infrastructure Equity
1.04000,2.15000,6.39000,2.15000,13.14000,1.41000,Canadian Dividend & Income Equity
0.48000,1.51000,0.54000,1.51000,4.49000,1.05000,Canadian Fixed Income Balanced
0.57000,1.79000,1.10000,1.79000,5.65000,2.17000,Canadian Fixed Income Balanced
0.60000,1.79000,0.22000,1.79000,2.58000,0.06000,2025 Target Date Portfolio
0.83000,2.43000,1.70000,2.43000,5.53000,1.39000,2030 Target Date Portfolio
0.67000,0.93000,-8.62000,0.93000,-2.70000,-0.63000,Canadian Long Term Fixed Income
0.12000,0.94000,-3.04000,0.94000,-0.78000,0.73000,Canadian Fixed Income
0.37000,0.81000,3.93000,0.81000,12.82000,3.55000,Canadian Dividend & Income Equity
3.22000,11.37000,7.92000,11.37000,19.90000,3.28000,Emerging Markets Equity
-0.34000,2.24000,9.90000,2.24000,14.27000,5.94000,North American Equity
0.05000,5.92000,9.69000,5.92000,16.49000,8.35000,U.S. Equity
-0.54000,4.31000,17.51000,4.31000,29.00000,16.05000,Financial Services Equity
1.92000,4.87000,6.52000,4.87000,11.79000,4.00000,Global Equity
1.19000,3.22000,3.46000,3.22000,7.97000,2.33000,Global Neutral Balanced
0.53000,1.58000,0.19000,1.58000,3.73000,0.53000,Global Fixed Income Balanced
0.19000,1.03000,0.90000,1.03000,2.64000,1.86000,Canadian Short Term Fixed Income
0.13000,0.52000,-0.12000,0.52000,0.84000,0.87000,Canadian Short Term Fixed Income
0.13000,5.78000,9.24000,5.78000,15.49000,7.75000,U.S. Equity
-0.30000,5.71000,11.27000,5.71000,14.56000,4.44000,U.S. Equity
3.05000,9.72000,11.27000,9.72000,24.42000,9.13000,Emerging Markets Equity
