name,benchmark,Fund
2015,-0.00098,-0.02509
brexit,-0.00754,0.02878
subprime,-0.23557,-0.18085
aug,-0.03136,-0.02377
euro,0.05157,0.16341
crisis alpha,0.00000,0.04893
crisis beta,1.00000,0.71711
non-crisis alpha,0.00000,0.04479
non-crisis beta,1.00000,0.63122
