quantile,benchmark,fund,anchor
worst,-0.01509,-0.00600,-0.05154
bad,-0.00568,-0.00201,-0.01035
average,0.00165,0.00293,0.00113
good,0.00712,0.00699,0.01208
best,0.01397,0.00771,0.04732
