quantile,benchmark,fund,anchor
worst,-0.01506,-0.00714,-0.05126
bad,-0.00623,-0.00309,-0.01033
average,0.00162,0.00259,0.00117
good,0.00761,0.00734,0.01174
best,0.01391,0.00717,0.04720
