name,benchmark,Fund
2015,-0.01031,-0.06033
brexit,-0.00563,0.00677
subprime,-0.22931,-0.04027
aug,-0.03119,-0.00244
euro,0.08222,0.06857
crisis alpha,0.00000,-0.00238
crisis beta,1.00000,0.10734
non-crisis alpha,0.00000,0.04218
non-crisis beta,1.00000,0.58340
