name,benchmark,Fund
2015,-0.00187,-0.03797
brexit,0.00018,0.04103
subprime,-0.22446,-0.14980
aug,-0.04516,-0.02910
euro,0.04347,0.15247
crisis alpha,0.00000,0.03007
crisis beta,1.00000,0.46447
non-crisis alpha,0.00000,0.03210
non-crisis beta,1.00000,0.66267
