quantile,benchmark,fund,anchor
worst,-0.01159,-0.00857,-0.05090
bad,-0.00452,-0.00266,-0.01007
average,0.00123,0.00188,0.00123
good,0.00589,0.00505,0.01175
best,0.01135,0.00894,0.04694
