name,benchmark,Fund
2015,-0.01031,-0.05395
brexit,-0.00563,0.00677
subprime,-0.22931,-0.07617
aug,-0.03119,-0.03030
euro,0.08222,0.07282
crisis alpha,0.00000,-0.00913
crisis beta,1.00000,0.27081
non-crisis alpha,0.00000,0.04744
non-crisis beta,1.00000,0.60546
