name,benchmark,Fund
2015,-0.00187,0.00211
brexit,0.00018,0.04701
subprime,-0.22446,0.08571
aug,-0.04516,-0.02479
euro,0.04347,0.29205
crisis alpha,0.00000,0.17243
crisis beta,1.00000,0.11158
non-crisis alpha,0.00000,0.06086
non-crisis beta,1.00000,0.68902
