name,benchmark,Fund
2015,-0.00098,-0.01130
brexit,-0.00754,0.06321
subprime,-0.23557,-0.11468
aug,-0.03136,-0.11516
euro,0.05157,0.20455
crisis alpha,0.00000,0.05299
crisis beta,1.00000,0.49900
non-crisis alpha,0.00000,0.06407
non-crisis beta,1.00000,0.58798
