name,benchmark,Fund
2015,-0.01031,-0.02120
brexit,-0.00563,-0.03164
subprime,-0.22931,-0.16096
aug,-0.03119,-0.03182
euro,0.08222,-0.00320
crisis alpha,0.00000,-0.04581
crisis beta,1.00000,0.65007
non-crisis alpha,0.00000,0.02030
non-crisis beta,1.00000,0.86526
