name,benchmark,Fund
2015,-0.00098,-0.00552
brexit,-0.00754,0.06274
subprime,-0.23557,0.03667
aug,-0.03136,-0.06138
euro,0.05157,0.32697
crisis alpha,0.00000,0.16952
crisis beta,1.00000,0.28965
non-crisis alpha,0.00000,0.09049
non-crisis beta,1.00000,0.56007
