quantile,benchmark,fund,anchor
worst,-0.01506,-0.00298,-0.05126
bad,-0.00623,-0.00217,-0.01033
average,0.00162,0.00280,0.00117
good,0.00761,0.00667,0.01174
best,0.01391,0.00642,0.04720
