name,benchmark,Fund
2015,-0.01031,-0.01160
brexit,-0.00563,-0.00464
subprime,-0.22931,-0.12620
aug,-0.03119,0.02001
euro,0.08222,0.05094
crisis alpha,0.00000,0.01517
crisis beta,1.00000,0.53461
non-crisis alpha,0.00000,0.01557
non-crisis beta,1.00000,0.61280
