quantile,benchmark,fund,anchor
worst,-0.01202,-0.00391,-0.05107
bad,-0.00411,-0.00224,-0.01043
average,0.00118,0.00278,0.00103
good,0.00586,0.00698,0.01184
best,0.01161,0.00659,0.04703
