name,benchmark,Fund
2015,-0.01031,-0.03165
brexit,-0.00563,-0.01882
subprime,-0.22931,-0.08363
aug,-0.03119,-0.04413
euro,0.08222,0.00654
crisis alpha,0.00000,-0.01972
crisis beta,1.00000,0.56461
non-crisis alpha,0.00000,0.01835
non-crisis beta,1.00000,0.83705
