name,benchmark,Fund
2015,-0.00098,-0.02609
brexit,-0.00754,0.03393
subprime,-0.23557,-0.10307
aug,-0.03136,-0.03677
euro,0.05157,0.12937
crisis alpha,0.00000,0.04037
crisis beta,1.00000,0.45044
non-crisis alpha,0.00000,0.01969
non-crisis beta,1.00000,0.60386
