quantile,benchmark,fund,anchor
worst,-0.01506,-0.00329,-0.05126
bad,-0.00623,-0.00087,-0.01033
average,0.00162,0.00161,0.00117
good,0.00761,0.00295,0.01174
best,0.01391,0.00444,0.04720
