name,benchmark,Fund
2015,-0.00098,-0.05186
brexit,-0.00754,0.05454
subprime,-0.23557,-0.01246
aug,-0.03136,0.03837
euro,0.05157,0.11749
crisis alpha,0.00000,0.07538
crisis beta,1.00000,0.14286
non-crisis alpha,0.00000,0.10132
non-crisis beta,1.00000,0.39412
