name,benchmark,Fund
2015,-0.00187,-0.03782
brexit,0.00018,0.03423
subprime,-0.22446,-0.01791
aug,-0.04516,0.02376
euro,0.04347,0.23869
crisis alpha,0.00000,0.09948
crisis beta,1.00000,0.06152
non-crisis alpha,0.00000,0.09439
non-crisis beta,1.00000,0.45794
