quantile,benchmark,fund,anchor
worst,-0.01509,-0.00758,-0.05154
bad,-0.00568,-0.00237,-0.01035
average,0.00165,0.00309,0.00113
good,0.00712,0.00892,0.01208
best,0.01397,0.00945,0.04732
