name,benchmark,Fund
2015,-0.01031,-0.00009
brexit,-0.00563,0.00277
subprime,-0.22931,0.01009
aug,-0.03119,0.01189
euro,0.08222,0.02627
crisis alpha,0.00000,0.02699
crisis beta,1.00000,0.06385
non-crisis alpha,0.00000,0.02480
non-crisis beta,1.00000,0.14117
